#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.0001  436.705  2.33844e-08  1.63483e-08  -2.46262e-08  -8.68671e-08  3.99188e-08  3.13767e-08  5.25994e-08  4.24128e-08  9.70554e-08  5.7879e-08  1.58841e-08  8.10869e-07  -7.03974e-10  8.54943e-08  -2.41943e-09  1.69866e-09  1.31655e+06  1.07309e+06  -2.00616e+06  509158  399174  5.64419e+06  -2.96699e-05  -1.98045e-05  -4603.19  -2045.86  -3068.79  -0.000267357  -0.000178185  -0.000239242  -0.000159579  -4.4879  -2.99127  -0.0170928  -0.0347881  7.22526e-08
0.000100577  439.205  2.40008e-08  1.67788e-08  -2.52769e-08  -8.89288e-08  4.09308e-08  3.22015e-08  5.39795e-08  4.35695e-08  9.9614e-08  5.94038e-08  1.62418e-08  8.32192e-07  -7.27539e-10  8.76702e-08  -2.48827e-09  1.75879e-09  4.20544e+06  2.67284e+06  -6.78558e+06  6.3106e+06  1.5253e+06  2.17841e+07  -3.03868e-05  -2.02831e-05  -4603.03  -2045.79  -3068.69  -0.000273818  -0.000182491  -0.000244089  -0.000162813  -4.59296  -3.06129  -0.0173528  -0.0355161  7.3772e-08
0.000101158  441.719  2.46331e-08  1.72204e-08  -2.59444e-08  -9.10372e-08  4.19679e-08  3.30475e-08  5.5395e-08  4.47573e-08  1.02239e-07  6.09681e-08  1.66071e-08  8.54064e-07  -7.51892e-10  8.99e-08  -2.55904e-09  1.8211e-09  5.19912e+06  3.76523e+06  -9.7909e+06  6.63611e+06  2.14939e+06  2.74044e+07  -3.11202e-05  -2.07727e-05  -4602.87  -2045.72  -3068.58  -0.000280428  -0.000186897  -0.000249021  -0.000166103  -4.70035  -3.13287  -0.0176171  -0.0362594  7.53225e-08
0.000101742  444.245  2.52818e-08  1.76734e-08  -2.66293e-08  -9.31934e-08  4.30305e-08  3.39154e-08  5.68469e-08  4.5977e-08  1.04931e-07  6.25727e-08  1.698e-08  8.765e-07  -7.77056e-10  9.21852e-08  -2.63179e-09  1.88568e-09  3.1822e+06  2.37241e+06  -6.30378e+06  4.07679e+06  1.42147e+06  1.74409e+07  -3.18705e-05  -2.12736e-05  -4602.7  -2045.65  -3068.47  -0.00028719  -0.000191403  -0.000254038  -0.00016945  -4.81009  -3.20601  -0.0178826  -0.0370162  7.69047e-08
0.000102329  446.785  2.59473e-08  1.81381e-08  -2.73319e-08  -9.53984e-08  4.41194e-08  3.48056e-08  5.8336e-08  4.72293e-08  1.07694e-07  6.42189e-08  1.73607e-08  8.99513e-07  -8.03065e-10  9.4527e-08  -2.70657e-09  1.95262e-09  83470.4  -83016.5  -217449  -111677  10457.4  -795890  -3.26381e-05  -2.17861e-05  -4602.53  -2045.57  -3068.36  -0.000294108  -0.000196014  -0.000259141  -0.000172854  -4.92225  -3.28077  -0.0181467  -0.0377851  7.85192e-08
0.00010292  449.337  2.66299e-08  1.86148e-08  -2.80527e-08  -9.76531e-08  4.52352e-08  3.57187e-08  5.98634e-08  4.85153e-08  1.10527e-07  6.59075e-08  1.77493e-08  9.23119e-07  -8.29952e-10  9.69268e-08  -2.78344e-09  2.02199e-09  5.71436e+06  3.81071e+06  -1.02789e+07  7.49434e+06  2.20146e+06  3.35112e+07  -3.34233e-05  -2.23102e-05  -4602.36  -2045.5  -3068.24  -0.000301184  -0.00020073  -0.000264331  -0.000176317  -5.03687  -3.35716  -0.0184091  -0.0385661  8.01666e-08
0.000103514  451.902  2.73302e-08  1.91038e-08  -2.87922e-08  -9.99586e-08  4.63784e-08  3.66552e-08  6.14299e-08  4.98356e-08  1.13434e-07  6.76397e-08  1.8146e-08  9.47332e-07  -8.57752e-10  9.9386e-08  -2.86245e-09  2.0939e-09  -2.75491e+06  -1.45746e+06  4.90854e+06  -2.48563e+06  -1.0639e+06  -1.44757e+07  -3.42265e-05  -2.28465e-05  -4602.19  -2045.42  -3068.13  -0.000308423  -0.000205554  -0.000269609  -0.000179838  -5.15399  -3.43523  -0.0186715  -0.0393606  8.18476e-08
0.000104112  454.48  2.80485e-08  1.96054e-08  -2.95508e-08  -1.02316e-07  4.75498e-08  3.76159e-08  6.30365e-08  5.11914e-08  1.16416e-07  6.94165e-08  1.85509e-08  9.72167e-07  -8.86494e-10  1.01906e-07  -2.94367e-09  2.16843e-09  -2.73137e+06  -1.78907e+06  4.87365e+06  -3.01264e+06  -1.07279e+06  -1.39602e+07  -3.50481e-05  -2.3395e-05  -4602.01  -2045.34  -3068.01  -0.000315828  -0.000210489  -0.000274975  -0.000183418  -5.27368  -3.515  -0.0189366  -0.0401707  8.35629e-08
0.000104713  457.072  2.87854e-08  2.01199e-08  -3.0329e-08  -1.04726e-07  4.875e-08  3.86012e-08  6.46843e-08  5.25834e-08  1.19474e-07  7.12392e-08  1.89641e-08  9.9764e-07  -9.16205e-10  1.04488e-07  -3.02714e-09  2.24569e-09  -1.78111e+06  -1.36357e+06  3.78916e+06  -2.42404e+06  -748008  -1.10384e+07  -3.58885e-05  -2.3956e-05  -4601.82  -2045.26  -3067.88  -0.000323402  -0.000215537  -0.00028043  -0.000187058  -5.39598  -3.59652  -0.0192055  -0.0409974  8.53131e-08
0.000105317  459.676  2.95412e-08  2.06477e-08  -3.11273e-08  -1.07191e-07  4.99798e-08  3.96118e-08  6.63743e-08  5.40126e-08  1.22612e-07  7.31088e-08  1.9386e-08  1.02377e-06  -9.46913e-10  1.07135e-07  -3.11294e-09  2.32578e-09  365211  354093  -991694  476347  304069  3.08822e+06  -3.67481e-05  -2.45299e-05  -4601.64  -2045.17  -3067.76  -0.000331149  -0.0002207  -0.000285977  -0.000190758  -5.52094  -3.67981  -0.0194775  -0.0418407  8.70988e-08
0.000105925  462.294  3.03165e-08  2.1189e-08  -3.19463e-08  -1.09711e-07  5.12398e-08  4.06483e-08  6.81075e-08  5.54801e-08  1.2583e-07  7.50265e-08  1.98165e-08  1.05056e-06  -9.78651e-10  1.09846e-07  -3.20113e-09  2.4088e-09  -6.30635e+06  -4.14486e+06  1.12418e+07  -6.21209e+06  -2.42659e+06  -3.19872e+07  -3.76273e-05  -2.51168e-05  -4601.44  -2045.09  -3067.63  -0.000339073  -0.000225981  -0.000291616  -0.000194521  -5.64862  -3.76491  -0.0197506  -0.0426992  8.89209e-08
0.000106537  464.925  3.11118e-08  2.17443e-08  -3.27864e-08  -1.12287e-07  5.25307e-08  4.17114e-08  6.9885e-08  5.69867e-08  1.29131e-07  7.69935e-08  2.02559e-08  1.07805e-06  -1.01146e-09  1.12624e-07  -3.29176e-09  2.49486e-09  -1.72413e+06  -1.18323e+06  3.25414e+06  -1.69923e+06  -698611  -1.13931e+07  -3.85265e-05  -2.57171e-05  -4601.25  -2045  -3067.5  -0.000347178  -0.000231382  -0.000297348  -0.000198345  -5.77907  -3.85185  -0.0200227  -0.0435721  9.078e-08
0.000107152  467.57  3.19276e-08  2.23138e-08  -3.36481e-08  -1.14921e-07  5.38534e-08  4.28018e-08  7.17079e-08  5.85336e-08  1.32517e-07  7.90112e-08  2.07043e-08  1.10624e-06  -1.04537e-09  1.15471e-07  -3.38491e-09  2.58408e-09  288944  170290  -531141  570159  114013  671155  -3.94462e-05  -2.63311e-05  -4601.05  -2044.91  -3067.37  -0.000355466  -0.000236906  -0.000303174  -0.000202232  -5.91234  -3.94068  -0.0202935  -0.0444594  9.26767e-08
0.000107771  470.228  3.27643e-08  2.28979e-08  -3.45321e-08  -1.17614e-07  5.52085e-08  4.392e-08  7.35773e-08  6.01217e-08  1.3599e-07  8.10807e-08  2.11619e-08  1.13515e-06  -1.08042e-09  1.18388e-07  -3.48064e-09  2.67657e-09  1.20339e+06  893497  -2.929e+06  1.92679e+06  654761  4.44463e+06  -4.03867e-05  -2.6959e-05  -4600.84  -2044.82  -3067.23  -0.000363943  -0.000242555  -0.000309094  -0.000206182  -6.0485  -4.03143  -0.0205627  -0.0453612  9.4612e-08
0.000108393  472.9  3.36225e-08  2.34971e-08  -3.54389e-08  -1.20366e-07  5.65968e-08  4.50669e-08  7.54945e-08  6.17523e-08  1.39553e-07  8.32034e-08  2.16288e-08  1.1648e-06  -1.11666e-09  1.21377e-07  -3.57903e-09  2.77246e-09  -988911  -1.15648e+06  1.8196e+06  -1.29291e+06  -395843  -5.48798e+06  -4.13485e-05  -2.76011e-05  -4600.64  -2044.73  -3067.09  -0.000372612  -0.000248332  -0.00031511  -0.000210196  -6.18759  -4.12413  -0.02083  -0.0462777  9.65864e-08
0.000109018  475.586  3.45028e-08  2.41116e-08  -3.6369e-08  -1.23181e-07  5.8019e-08  4.62432e-08  7.74605e-08  6.34263e-08  1.43207e-07  8.53806e-08  2.21052e-08  1.19521e-06  -1.15412e-09  1.24439e-07  -3.68014e-09  2.87188e-09  -5.53824e+06  -3.92541e+06  1.0007e+07  -7.42151e+06  -2.1961e+06  -3.54313e+07  -4.23322e-05  -2.82578e-05  -4600.42  -2044.63  -3066.95  -0.000381477  -0.000254241  -0.000321221  -0.000214273  -6.32967  -4.21883  -0.0210954  -0.047209  9.86009e-08
0.000109648  478.285  3.54056e-08  2.47419e-08  -3.73231e-08  -1.26057e-07  5.94761e-08  4.74495e-08  7.94767e-08  6.5145e-08  1.46954e-07  8.76137e-08  2.25913e-08  1.2264e-06  -1.19285e-09  1.27577e-07  -3.78404e-09  2.97496e-09  2.20399e+06  1.70531e+06  -4.03108e+06  2.82127e+06  1.04473e+06  1.45537e+07  -4.3338e-05  -2.89293e-05  -4600.21  -2044.54  -3066.8  -0.000390543  -0.000260282  -0.000327428  -0.000218415  -6.4748  -4.31556  -0.0213594  -0.048156  1.00656e-07
0.000110281  480.998  3.63317e-08  2.53883e-08  -3.83018e-08  -1.28997e-07  6.09689e-08  4.86866e-08  8.15442e-08  6.69094e-08  1.50798e-07  8.99041e-08  2.30872e-08  1.25838e-06  -1.2329e-09  1.30792e-07  -3.89082e-09  3.08184e-09  -1.10271e+06  -1.05782e+06  2.69635e+06  -1.83617e+06  -512837  -6.04674e+06  -4.43666e-05  -2.9616e-05  -4599.98  -2044.44  -3066.66  -0.000399813  -0.000266461  -0.000333733  -0.000222621  -6.62305  -4.41437  -0.0216244  -0.0491206  1.02753e-07
0.000110917  483.725  3.72815e-08  2.60513e-08  -3.93056e-08  -1.32003e-07  6.24981e-08  4.99554e-08  8.36643e-08  6.87209e-08  1.54741e-07  9.22531e-08  2.35931e-08  1.29118e-06  -1.27429e-09  1.34085e-07  -4.00054e-09  3.19266e-09  -375858  -263882  222679  -736456  -258896  -2.335e+06  -4.54183e-05  -3.03182e-05  -4599.76  -2044.34  -3066.51  -0.000409292  -0.000272778  -0.000340136  -0.000226893  -6.77447  -4.51529  -0.0218921  -0.0501041  1.04892e-07
0.000111558  486.466  3.82556e-08  2.67312e-08  -4.03352e-08  -1.35075e-07  6.40646e-08  5.12565e-08  8.58383e-08  7.05806e-08  1.58785e-07  9.46624e-08  2.41092e-08  1.32482e-06  -1.31708e-09  1.3746e-07  -4.11329e-09  3.30756e-09  1.64172e+06  1.34224e+06  -3.49569e+06  2.44081e+06  870966  9.62435e+06  -4.64937e-05  -3.10361e-05  -4599.52  -2044.23  -3066.35  -0.000418985  -0.000279237  -0.000346638  -0.000231232  -6.92912  -4.61837  -0.0221622  -0.0511068  1.07074e-07
