#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.001  3962.3  0.000338629  0.000234413  -0.000364758  -0.000491088  0.000443433  0.000411715  0.000620557  0.000737678  0.00140663  0.000849  5.80106e-05  0.0103458  -0.000126377  0.000920033  -4.85489e-07  0.000556234  -9.34523  -11.4507  -8.19315  0.206754  -10.0505  -69.7418  -0.0281508  -0.0191319  -2744.42  -1220.81  -1830.42  -0.257973  -0.171362  0.174036  0.114675  -1187.39  -790.952  12.4266  -1.97042  7.11675e-05
0.00103514  4091.9  0.000388698  0.000268994  -0.000418965  -0.000563102  0.000508985  0.000471051  0.000707199  0.000846708  0.00161464  0.000974947  6.78309e-05  0.0118247  -0.000149375  0.00105357  4.11341e-07  0.000658694  18.6726  6.85492  -74.9075  31.0746  -1.6009  94.9191  -0.0302589  -0.0205915  -2686.9  -1195.33  -1792.13  -0.277617  -0.184371  0.18965  0.12489  -1225.73  -816.463  12.6208  -2.35726  7.73035e-05
0.00107152  4225.13  0.000446155  0.000308666  -0.000481213  -0.000645766  0.000584232  0.000538875  0.000805731  0.000971799  0.00185337  0.00111956  7.93574e-05  0.0135129  -0.000176538  0.00120641  1.59117e-06  0.000779962  -21.7627  -17.4155  -3.38863  -19.4962  -14.943  -68.433  -0.0325111  -0.0221553  -2629.39  -1169.86  -1753.86  -0.298656  -0.198298  0.20599  0.13556  -1264.07  -841.969  12.746  -2.80827  8.39325e-05
0.00110917  4362.74  0.00051209  0.000354178  -0.000552693  -0.000740638  0.000670602  0.000616392  0.00091775  0.00111531  0.00212732  0.0012856  9.28833e-05  0.0154396  -0.000208614  0.00138133  3.12073e-06  0.000923476  -6.0406  -3.99254  -14.1772  -9.51816  -13.2493  -17.4345  -0.0349188  -0.0238319  -2571.04  -1144.01  -1715.03  -0.321205  -0.213219  0.223118  0.146723  -1302.97  -867.844  12.902  -3.25988  9.11012e-05
0.00114815  4504.29  0.00058775  0.000406387  -0.000634771  -0.000849496  0.000769734  0.000704976  0.00104506  0.00127997  0.00244168  0.00147625  0.00010875  0.0176382  -0.000246486  0.00158147  5.0809e-06  0.0010933  10.819  5.61041  -61.705  22.1208  -4.58507  69.0048  -0.0374941  -0.0256308  -2511.01  -1117.44  -1675.09  -0.345391  -0.229215  0.241177  0.158471  -1342.98  -894.457  13.1743  -3.65807  9.88606e-05
0.0011885  4650.25  0.000674568  0.000466277  -0.000729016  -0.000974373  0.000883505  0.000806193  0.0011897  0.00146886  0.00280242  0.00169515  0.000127354  0.0201466  -0.000291195  0.00181045  7.56969e-06  0.00129424  -23.5013  -22.3042  13.2339  -30.1024  -20.3848  -118.183  -0.0402493  -0.0275619  -2448.64  -1089.82  -1633.59  -0.371342  -0.246372  0.260365  0.17093  -1384.55  -922.109  13.6089  -3.97492  0.000107265
0.00123027  4800.48  0.000774185  0.000534978  -0.000837225  -0.00111759  0.00101407  0.00092183  0.00135398  0.00168557  0.00321634  0.00194649  0.000149162  0.0230077  -0.000343968  0.00207238  1.07059e-05  0.00153196  -7.35355  -9.70726  -19.4259  -3.88236  -11.3803  -28.4157  -0.043197  -0.0296352  -2383.51  -1060.99  -1590.25  -0.399192  -0.264774  0.28097  0.184286  -1427.97  -950.985  14.35  -4.11626  0.000116371
0.0012735  4955.07  0.000888484  0.000613781  -0.000961461  -0.00128179  0.00116389  0.00105392  0.00154049  0.00193418  0.00369129  0.00223505  0.000174716  0.0262705  -0.000406247  0.00237195  1.46327e-05  0.00181317  -12.1314  -15.3262  -10.2308  -14.8257  -14.4318  -87.6488  -0.046349  -0.0318608  -2315.68  -1030.97  -1545.13  -0.429074  -0.284509  0.303369  0.198784  -1473.18  -981.053  15.4588  -4.04216  0.000126233
0.00131826  5114.58  0.00101962  0.000704169  -0.00110409  -0.00147001  0.00133579  0.00120479  0.00175216  0.00221937  0.00423622  0.00256637  0.00020465  0.0299906  -0.000479733  0.00271451  1.95234e-05  0.00214578  -4.35948  -9.05226  -24.1957  1.5106  -11.4628  -29.4715  -0.0497166  -0.0342485  -2245.83  -1000.06  -1498.66  -0.461114  -0.305657  0.32797  0.214688  -1519.75  -1012.01  16.9688  -3.72966  0.000136904
0.00136458  5278.34  0.00117008  0.000807842  -0.00126782  -0.00168574  0.00153303  0.00137707  0.00199229  0.00254651  0.00486142  0.00294676  0.000239714  0.0342312  -0.000566429  0.00310617  2.55866e-05  0.00253913  -6.36278  -11.4545  -11.7422  -5.03138  -12.1459  -28.5992  -0.05331  -0.0368078  -2175.24  -968.826  -1451.71  -0.495435  -0.328298  0.35512  0.23222  -1566.81  -1043.3  18.6986  -3.29709  0.000148432
