# k    pksmooth
0.0001 425.851
0.00010202 437.569
0.00010408 449.119
0.00010618 460.513
0.00010833 471.814
0.00011052 482.98
0.00011275 494.026
0.00011503 505.013
0.00011735 515.909
0.00011972 526.776
0.00012214 537.626
0.00012461 548.474
0.00012712 559.292
0.00012969 570.181
0.00013231 581.113
0.00013499 592.142
0.00013771 603.201
0.00014049 614.385
0.00014333 625.707
0.00014623 637.18
0.00014918 648.775
0.0001522 660.585
0.00015527 672.54
0.00015841 684.731
0.00016161 697.129
0.00016487 709.744
0.0001682 722.623
0.0001716 735.775
0.00017507 749.209
0.0001786 762.894
0.00018221 776.914
0.00018589 791.237
0.00018965 805.909
0.00019348 820.897
0.00019739 836.244
0.00020138 851.955
0.00020544 867.997
0.00020959 884.451
0.00021383 901.321
0.00021815 918.57
0.00022255 936.201
0.00022705 954.296
0.00023164 972.817
0.00023632 991.764
0.00024109 1011.14
0.00024596 1030.98
0.00025093 1051.3
0.000256 1072.08
0.00026117 1093.32
0.00026645 1115.08
0.00027183 1137.3
0.00027732 1160.02
0.00028292 1183.24
0.00028864 1207.01
0.00029447 1231.27
0.00030042 1256.06
0.00030649 1281.38
0.00031268 1307.22
0.00031899 1333.59
0.00032544 1360.55
0.00033201 1388.03
0.00033872 1416.09
0.00034556 1444.69
0.00035254 1473.86
0.00035966 1503.61
0.00036693 1533.96
0.00037434 1564.86
0.0003819 1596.36
0.00038962 1628.48
0.00039749 1661.17
0.00040552 1694.47
0.00041371 1728.37
0.00042207 1762.91
0.0004306 1798.06
0.00043929 1833.8
0.00044817 1870.22
0.00045722 1907.24
0.00046646 1944.94
0.00047588 1983.25
0.0004855 2022.27
0.0004953 2061.88
0.00050531 2102.21
0.00051552 2143.21
0.00052593 2184.87
0.00053656 2227.26
0.00054739 2270.29
0.00055845 2314.07
0.00056973 2358.56
0.00058124 2403.78
0.00059299 2449.76
0.00060496 2496.42
0.00061719 2543.91
0.00062965 2592.1
0.00064237 2641.1
0.00065535 2690.91
0.00066859 2741.5
0.0006821 2792.93
0.00069588 2845.17
0.00070993 2898.22
0.00072427 2952.16
0.00073891 3007
0.00075383 3062.68
0.00076906 3119.29
0.0007846 3176.84
0.00080045 3235.31
0.00081662 3294.73
0.00083311 3355.11
0.00084994 3416.51
0.00086711 3478.92
0.00088463 3542.38
0.0009025 3606.89
0.00092073 3672.47
0.00093933 3739.15
0.00095831 3806.98
0.00097767 3875.94
0.00099742 3946.07
0.0010176 4017.51
0.0010381 4089.86
0.0010591 4163.76
0.0010805 4238.85
0.0011023 4315.13
0.0011246 4392.95
0.0011473 4471.95
0.0011705 4552.47
0.0011941 4634.18
0.0012182 4717.41
0.0012429 4802.5
0.001268 4888.76
0.0012936 4976.53
0.0013197 5065.81
0.0013464 5156.93
0.0013736 5249.56
0.0014013 5343.67
0.0014296 5439.62
0.0014585 5537.39
0.001488 5636.97
0.001518 5738.02
0.0015487 5841.21
0.00158 5946.2
0.0016119 6052.96
0.0016445 6161.84
0.0016777 6272.47
0.0017116 6385.19
0.0017462 6499.99
0.0017814 6616.5
0.0018174 6735.39
0.0018541 6856.31
0.0018916 6979.56
0.0019298 7104.8
0.0019688 7232.34
0.0020086 7362.15
0.0020491 7493.88
0.0020905 7628.16
0.0021328 7764.95
0.0021758 7903.59
0.0022198 8045.01
0.0022646 8188.52
0.0023104 8334.74
0.0023571 8483.3
0.0024047 8634.16
0.0024533 8787.6
0.0025028 8943.25
0.0025534 9101.69
0.002605 9262.55
0.0026576 9425.78
0.0027113 9591.63
0.002766 9759.72
0.0028219 9930.61
0.0028789 10103.9
0.0029371 10279.9
0.0029964 10458.1
0.0030569 10638.8
0.0031187 10822.2
0.0031817 11007.9
0.003246 11196.1
0.0033115 11386.5
0.0033784 11579.4
0.0034467 11774.8
0.0035163 11972.3
0.0035874 12172.4
0.0036598 12374.3
0.0037338 12578.7
0.0038092 12785
0.0038861 12993.3
0.0039646 13203.8
0.0040447 13416.2
0.0041264 13630.5
0.0042098 13846.7
0.0042948 14064.4
0.0043816 14283.9
0.0044701 14504.9
0.0045604 14727.3
0.0046525 14951
0.0047465 15176.1
0.0048424 15402.2
0.0049402 15629.4
0.00504 15857.4
0.0051419 16086.5
0.0052457 16315.8
0.0053517 16545.8
0.0054598 16776.1
0.0055701 17006.7
0.0056826 17237.3
0.0057974 17467.8
0.0059145 17698.1
0.006034 17928
0.0061559 18157.3
0.0062803 18385.9
0.0064072 18613.6
0.0065366 18840
0.0066686 19065.1
0.0068033 19288.8
0.0069408 19511
0.007081 19731.1
0.007224 19949.1
0.00737 20165
0.0075189 20378.4
0.0076708 20589.1
0.0078257 20796.8
0.0079838 21001.6
0.0081451 21203
0.0083096 21400.9
0.0084775 21595.1
0.0086488 21785.5
0.0088235 21971.6
0.0090017 22153.4
0.0091836 22330.8
0.0093691 22503.3
0.0095583 22670.9
0.0097514 22833.4
0.0099484 22990.6
0.010149 23141.9
0.010354 23287.8
0.010564 23428.4
0.010777 23562
0.010995 23689.9
0.011217 23811
0.011443 23925.4
0.011675 24033.7
0.01191 24134.3
0.012151 24228.4
0.012397 24315.3
0.012647 24394.6
0.012902 24466.5
0.013163 24531
0.013429 24587.8
0.0137 24636.8
0.013977 24678
0.014259 24711.2
0.014547 24736.5
0.014841 24753.7
0.015141 24762.8
0.015447 24763.7
0.015759 24756.5
0.016077 24741
0.016402 24717.4
0.016734 24685.4
0.017072 24645.3
0.017416 24597.1
0.017768 24540.7
0.018127 24476.1
0.018493 24403.5
0.018867 24322.8
0.019248 24234.2
0.019637 24137.7
0.020034 24033.4
0.020438 23921.7
0.020851 23802.2
0.021272 23675.4
0.021702 23541
0.022141 23399.4
0.022588 23251
0.023044 23095.7
0.02351 22933.3
0.023985 22764.6
0.024469 22589.6
0.024964 22407.9
0.025468 22220.6
0.025982 22027.4
0.026507 21828.3
0.027043 21623.7
0.027589 21414
0.028146 21199.3
0.028715 20979.5
0.029295 20755.2
0.029887 20526.4
0.03049 20293.7
0.031106 20056.7
0.031735 19815.8
0.032376 19571.6
0.03303 19324.1
0.033697 19073.5
0.034378 18819.9
0.035072 18564
0.035781 18305.3
0.036504 18044.5
0.037241 17781.9
0.037993 17517.6
0.038761 17251.5
0.039544 16984.2
0.040343 16715.8
0.041158 16446.5
0.041989 16176.7
0.042838 15906
0.043703 15635.4
0.044586 15364.6
0.045486 15094.1
0.046405 14823.7
0.047343 14553.6
0.048299 14284.5
0.049275 14015.9
0.05027 13748.6
0.051286 13482.2
0.052322 13217.2
0.053379 12953.6
0.054457 12691.8
0.055557 12431.6
0.05668 12173.2
0.057825 11916.9
0.058993 11662.7
0.060184 11411
0.0614 11161.4
0.062641 10914.1
0.063906 10669.7
0.065197 10427.8
0.066514 10188.7
0.067858 9952.35
0.069229 9718.93
0.070627 9488.61
0.072054 9261.21
0.07351 9036.89
0.074994 8815.95
0.076509 8598.08
0.078055 8383.41
0.079632 8172.08
0.081241 7964.07
0.082882 7759.5
0.084556 7558.35
0.086264 7360.59
0.088007 7166.22
0.089785 6975.34
0.091598 6788.02
0.093449 6604.03
0.095337 6423.56
0.097263 6246.58
0.099227 6073.15
0.10123 5903.25
0.10328 5736.27
0.10536 5573.63
0.10749 5413.81
0.10966 5257.61
0.11188 5104.38
0.11414 4954.85
0.11644 4809.01
0.1188 4665.65
0.1212 4526.03
0.12365 4389.59
0.12614 4256.85
0.12869 4126.78
0.13129 3999.93
0.13394 3876.3
0.13665 3755.44
0.13941 3637.81
0.14223 3522.99
0.1451 3411.38
0.14803 3302.58
0.15102 3196.59
0.15407 3093.42
0.15718 2993.04
0.16036 2895.15
0.1636 2800.05
0.1669 2707.71
0.17028 2617.58
0.17371 2530.43
0.17722 2445.47
0.1808 2362.96
0.18446 2282.64
0.18818 2204.94
0.19198 2129.41
0.19586 2056.04
0.19982 1984.82
0.20386 1915.72
0.20797 1848.89
0.21218 1783.83
0.21646 1720.98
0.22083 1660.01
0.2253 1600.77
0.22985 1543.51
0.23449 1488.08
0.23923 1434.32
0.24406 1382.34
0.24899 1332
0.25402 1283.28
0.25915 1236.16
0.26439 1190.52
0.26973 1146.43
0.27518 1103.78
0.28074 1062.55
0.28641 1022.72
0.29219 984.25
0.2981 947.003
0.30412 911.081
0.31026 876.395
0.31653 842.872
0.32292 810.541
0.32945 779.283
0.3361 749.171
0.34289 720.093
0.34982 692.03
0.35689 664.964
0.36409 638.91
0.37145 613.739
0.37895 589.504
0.38661 566.119
0.39442 543.599
0.40239 521.896
0.41052 500.992
0.41881 480.87
0.42727 461.486
0.4359 442.826
0.44471 424.851
0.45369 407.566
0.46286 390.917
0.47221 374.908
0.48174 359.521
0.49148 344.694
0.50141 330.446
0.51153 316.76
0.52187 303.583
0.53241 290.927
0.54317 278.757
