#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.0001  373.91  1.82918e-08  1.27885e-08  -1.92617e-08  -6.79606e-08  3.12273e-08  2.4545e-08  4.11479e-08  3.31741e-08  7.5919e-08  4.52757e-08  1.24278e-08  6.34301e-07  -5.50211e-10  6.68794e-08  -1.89361e-09  1.34241e-09  -3.18806e+06  -2.13516e+06  4.98212e+06  -3.50137e+06  -1.08316e+06  -1.40255e+07  -2.33505e-05  -1.55863e-05  -3485.14  -1548.95  -2323.42  -0.000210416  -0.000140236  -0.000183119  -0.000122145  -3.50443  -2.33576  -0.011324  -0.025903  6.38441e-08
0.000102329  385.902  2.02963e-08  1.41885e-08  -2.13776e-08  -7.4492e-08  3.44874e-08  2.72271e-08  4.56351e-08  3.69647e-08  8.42393e-08  5.02346e-08  1.35441e-08  7.03633e-07  -6.2755e-10  7.38969e-08  -2.11718e-09  1.54239e-09  -3.64115e+06  -2.48802e+06  6.67194e+06  -5.61139e+06  -1.77558e+06  -2.27044e+07  -2.56664e-05  -1.71323e-05  -3484.64  -1548.73  -2323.09  -0.000231288  -0.000154146  -0.000197261  -0.000131581  -3.83771  -2.5579  -0.011832  -0.0280176  6.93652e-08
0.000104713  397.7  2.25152e-08  1.5738e-08  -2.37204e-08  -8.16134e-08  3.8077e-08  3.01948e-08  5.05988e-08  4.11789e-08  9.34496e-08  5.57235e-08  1.47507e-08  7.80352e-07  -7.15849e-10  8.16277e-08  -2.36659e-09  1.77301e-09  81888.3  100674  -1.43602e+06  229766  241544  1.28525e+06  -2.81974e-05  -1.8822e-05  -3484.09  -1548.49  -2322.73  -0.000254099  -0.000169349  -0.000212241  -0.000141576  -4.20004  -2.7994  -0.0123104  -0.0302715  7.53457e-08
0.000107152  409.323  2.49708e-08  1.74526e-08  -2.63139e-08  -8.93749e-08  4.20285e-08  3.34777e-08  5.60882e-08  4.5863e-08  1.03642e-07  6.17976e-08  1.60544e-08  8.65222e-07  -8.16582e-10  9.01421e-08  -2.64474e-09  2.03905e-09  1.64066e+06  1.11646e+06  -2.52301e+06  2.13208e+06  565255  8.99544e+06  -3.09617e-05  -2.06675e-05  -3483.5  -1548.22  -2322.34  -0.000279014  -0.000185953  -0.000228081  -0.000152145  -4.59366  -3.06175  -0.0127804  -0.0326915  8.18219e-08
0.000109648  420.793  2.76877e-08  1.93493e-08  -2.91842e-08  -9.78297e-08  4.63769e-08  3.71085e-08  6.21572e-08  5.10678e-08  1.1492e-07  6.85177e-08  1.74615e-08  9.59084e-07  -9.3159e-10  9.95168e-08  -2.95481e-09  2.34613e-09  -1.66458e+06  -1.38251e+06  3.09307e+06  -2.67897e+06  -700764  -9.45366e+06  -3.3979e-05  -2.26818e-05  -3482.86  -1547.94  -2321.91  -0.000306209  -0.000204077  -0.000244791  -0.000163295  -5.02093  -3.34653  -0.0132016  -0.0352641  8.8833e-08
0.000112202  432.131  3.06928e-08  2.14471e-08  -3.236e-08  -1.07036e-07  5.11611e-08  4.11229e-08  6.88651e-08  5.68496e-08  1.27394e-07  7.59507e-08  1.89793e-08  1.06286e-06  -1.06286e-09  1.09836e-07  -3.30035e-09  2.70071e-09  -186755  -47182.9  175609  -186436  -5242.44  -295334  -3.72702e-05  -2.48792e-05  -3482.17  -1547.63  -2321.45  -0.000335874  -0.000223847  -0.000262387  -0.000175037  -5.48437  -3.65541  -0.0135726  -0.038003  9.64206e-08
0.000114815  443.362  3.40161e-08  2.37667e-08  -3.58729e-08  -1.17057e-07  5.64234e-08  4.55602e-08  7.62772e-08  6.32705e-08  1.41189e-07  8.417e-08  2.06153e-08  1.17758e-06  -1.21271e-09  1.21192e-07  -3.68522e-09  3.11035e-09  1.91705e+06  1.46639e+06  -3.51161e+06  2.6208e+06  853417  1.18012e+07  -4.08581e-05  -2.72746e-05  -3481.41  -1547.3  -2320.94  -0.000368214  -0.0002454  -0.000280872  -0.000187373  -5.98662  -3.99016  -0.0139116  -0.0409356  1.0463e-07
0.00011749  454.505  3.76902e-08  2.63308e-08  -3.97578e-08  -1.27958e-07  6.22101e-08  5.04637e-08  8.44652e-08  7.03992e-08  1.5644e-07  9.32568e-08  2.23774e-08  1.30434e-06  -1.38388e-09  1.33686e-07  -4.11373e-09  3.58379e-09  854477  699191  -1.88631e+06  1.11263e+06  381744  5.8508e+06  -4.47669e-05  -2.98843e-05  -3480.6  -1546.93  -2320.4  -0.000403447  -0.00026888  -0.000300247  -0.000200304  -6.53051  -4.35267  -0.0141839  -0.0440554  1.13509e-07
0.000120226  465.593  4.17512e-08  2.91646e-08  -4.4053e-08  -1.39815e-07  6.85721e-08  5.58812e-08  9.35078e-08  7.83113e-08  1.73298e-07  1.033e-07  2.42741e-08  1.44439e-06  -1.57938e-09  1.47429e-07  -4.59061e-09  4.13122e-09  530634  365678  -1.33544e+06  937535  275369  3.8274e+06  -4.90224e-05  -3.27256e-05  -3479.71  -1546.54  -2319.81  -0.000441806  -0.000294444  -0.00032051  -0.000213828  -7.11902  -4.74491  -0.0143592  -0.0473593  1.23109e-07
0.000123027  476.648  4.62388e-08  3.22957e-08  -4.88008e-08  -1.52705e-07  7.5565e-08  6.18647e-08  1.03492e-07  8.70903e-08  1.91927e-07  1.14398e-07  2.63141e-08  1.59907e-06  -1.80247e-09  1.62541e-07  -5.12103e-09  4.7645e-09  -62710.5  -58573.7  138366  -89278.1  -7398.43  -88642.4  -5.36525e-05  -3.58171e-05  -3478.76  -1546.12  -2319.17  -0.000483543  -0.000322259  -0.000341641  -0.000227933  -7.75528  -5.16898  -0.0144576  -0.0508796  1.33487e-07
